NHM_ID,NP_ID,NHM_ReportYear,NHM_UnitSize,NHM_Rent_Amt
1,1,2016,Overall,917
2,1,2016,Studio,677
3,1,2016,1-BR,814
4,1,2016,2-BR,955
5,1,2016,3-BR,1234
6,2,2016,Overall,1280
7,2,2016,Studio,1017
8,2,2016,1-BR,1278
9,2,2016,2-BR,1410
10,2,2016,3-BR,1853
11,3,2016,Overall,893
12,3,2016,Studio,791
13,3,2016,1-BR,778
14,3,2016,2-BR,927
15,3,2016,3-BR,1148
16,4,2016,Overall,1537
17,4,2016,Studio,1132
18,4,2016,1-BR,1481
19,4,2016,2-BR,2125
20,4,2016,3-BR,3308
21,5,2016,Overall,1498
22,5,2016,Studio,0
23,5,2016,1-BR,1386
24,5,2016,2-BR,1542
25,5,2016,3-BR,0
26,6,2016,Overall,1000
27,6,2016,Studio,474
28,6,2016,1-BR,845
29,6,2016,2-BR,1050
30,6,2016,3-BR,1398
31,7,2016,Overall,1877
32,7,2016,Studio,0
33,7,2016,1-BR,1586
34,7,2016,2-BR,2334
35,7,2016,3-BR,0
36,8,2016,Overall,1064
37,8,2016,Studio,0
38,8,2016,1-BR,909
39,8,2016,2-BR,1097
40,8,2016,3-BR,1498
41,9,2016,Overall,1306
42,9,2016,Studio,1071
43,9,2016,1-BR,1240
44,9,2016,2-BR,1558
45,9,2016,3-BR,2102
46,10,2016,Overall,1388
47,10,2016,Studio,1084
48,10,2016,1-BR,1328
49,10,2016,2-BR,1762
50,10,2016,3-BR,1123
51,11,2016,Overall,1060
52,11,2016,Studio,950
53,11,2016,1-BR,897
54,11,2016,2-BR,1070
55,11,2016,3-BR,1344
56,12,2016,Overall,1189
57,12,2016,Studio,1207
58,12,2016,1-BR,1116
59,12,2016,2-BR,1436
60,12,2016,3-BR,876
61,13,2016,Overall,1035
62,13,2016,Studio,930
63,13,2016,1-BR,893
64,13,2016,2-BR,1133
65,13,2016,3-BR,1339
66,14,2016,Overall,1534
67,14,2016,Studio,1095
68,14,2016,1-BR,1618
69,14,2016,2-BR,2585
70,14,2016,3-BR,2286
71,15,2016,Overall,998
72,15,2016,Studio,473
73,15,2016,1-BR,872
74,15,2016,2-BR,1103
75,15,2016,3-BR,1178
76,16,2016,Overall,1043
77,16,2016,Studio,0
78,16,2016,1-BR,815
79,16,2016,2-BR,990
80,16,2016,3-BR,1244
81,17,2016,Overall,1143
82,17,2016,Studio,950
83,17,2016,1-BR,1012
84,17,2016,2-BR,1170
85,17,2016,3-BR,1389
86,18,2016,Overall,973
87,18,2016,Studio,680
88,18,2016,1-BR,847
89,18,2016,2-BR,1054
90,18,2016,3-BR,1175
91,19,2016,Overall,1231
92,19,2016,Studio,1159
93,19,2016,1-BR,1035
94,19,2016,2-BR,1408
95,19,2016,3-BR,0
96,20,2016,Overall,1563
97,20,2016,Studio,1332
98,20,2016,1-BR,1405
99,20,2016,2-BR,2116
100,20,2016,3-BR,1462
101,21,2016,Overall,999
102,21,2016,Studio,1156
103,21,2016,1-BR,871
104,21,2016,2-BR,955
105,21,2016,3-BR,1208
106,22,2016,Overall,1193
107,22,2016,Studio,849
108,22,2016,1-BR,1046
109,22,2016,2-BR,1279
110,22,2016,3-BR,0
111,23,2016,Overall,1333
112,23,2016,Studio,923
113,23,2016,1-BR,1066
114,23,2016,2-BR,1381
115,23,2016,3-BR,1672
116,24,2016,Overall,1138
117,24,2016,Studio,927
118,24,2016,1-BR,1014
119,24,2016,2-BR,1261
120,24,2016,3-BR,1314
121,25,2016,Overall,1347
122,25,2016,Studio,1169
123,25,2016,1-BR,1328
124,25,2016,2-BR,1520
125,25,2016,3-BR,1562
